Name,Price,Provider,Review,Rating,Link,Wifi,Breakfast,Parking,Restaurant,StreetAddress,ExtendedAddress,Locality,Latitude,Longitude
Hostel Fireflies, 679,Booking.com,139,4.5,https://www.tripadvisor.com/Hotel_-g293890-d7185888--Hostel_Fireflies-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,false,true,"No. 179 Paknajol Marg, House",Ward No.16 next to Nilgiri Public School,"Kathmandu 44600, ",27.7173073,85.3082693
Hotel Bliss International, 2822,Booking.com,296,4.5,https://www.tripadvisor.com/Hotel_-g293890-d7185178--Hotel_Bliss_International-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,Chhusya Galli,"Jyatha, Thamel","Kathmandu 44600, ",27.7166881,85.3086914
Stupa Guest House and Restaurant, 744,Booking.com,169,4.5,https://www.tripadvisor.com/Hotel_-g293890-d4816605--Stupa_Guest_House_and_Restaurant-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Regio.html,true,false,false,true,"Thahity, Thamel", ,"Kathmandu 19880, ",27.7107696,85.3108752
Andes House, 1661,Booking.com,291,4.5,https://www.tripadvisor.com/Hotel_-g293890-d7396003--Andes_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,true,false,false,"Ga-Hiti Marg, Thamel - 29, Kathmandu", ,"Kathmandu 00977, ",27.7168695,85.3125943
Bodhi Guest House, 1292,Expedia,127,5,https://www.tripadvisor.com/Hotel_-g293890-d7110244--Bodhi_Guest_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,true,false,false,16 Boudha,Boudha,"Kathmandu 44600, ",27.7219003,85.3732524
Kathmandu Boutique Hotel, 1189,Expedia,392,5,https://www.tripadvisor.com/Hotel_-g293890-d7165990--Kathmandu_Boutique_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,true,false,false, , ,"Kathmandu 00977, ",27.7172453,85.3239605
Potala Tourist Home,1058,Booking.com,128,4.5,https://www.tripadvisor.com/Hotel_-g293890-d3241470--Potala_Tourist_Home-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,false,true,Tredevi Marg,Thamel,"Kathmandu 44600, ",27.7139661,85.3138562
Thorong Peak Guest House,2246,Hotels.com,150,4.5,https://www.tripadvisor.com/Hotel_-g293890-d2079042--Thorong_Peak_Guest_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,false,true,29 Thamel,Narsingh Chowk,"Kathmandu 44600, ",27.713535,85.3109209
Hotel Atlantic Nepal,1676,Booking.com,129,4.5,https://www.tripadvisor.com/Hotel_-g293890-d7389745--Hotel_Atlantic_Nepal-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,"Tridevi Marg, Thamel, Kathmandu, Nepal", ,"Kathmandu 44600, ",27.7139661,85.3138562
Traditional Comfort, 8414,Expedia,162,5,https://www.tripadvisor.com/Hotel_-g293890-d10591832--Traditional_Comfort-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,true,false,false,Kamalpokhari, ,"Kathmandu 44600, ",27.7111714,85.3255595
Norbulinka Boutique Hotel, 2885,Expedia,266,4.5,https://www.tripadvisor.com/Hotel_-g293890-d457083--Norbulinka_Boutique_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,"Hiti Road, Nepal",Thamel,"Kathmandu 44600, ",27.717333,85.312066
Hotel Pilgrims Pvt. Ltd., 2222,Booking.com,209,4.5,https://www.tripadvisor.com/Hotel_-g293890-d5113587--Hotel_Pilgrims_Pvt_Ltd-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,false,true,Z Street,Thamel,"Kathmandu 44600, ",27.7167975,85.3095476
Hotel Jay Suites, 2674,Booking.com,192,4.5,https://www.tripadvisor.com/Hotel_-g293890-d10415830--Hotel_Jay_Suites-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,true,false,false,Chhusya Galli,"Jyatha, Thamel -30","Kathmandu 12486, ",27.7115146,85.3131268
Hotel Florid Nepal, 1389,Booking.com,194,4.5,https://www.tripadvisor.com/Hotel_-g293890-d632769--Hotel_Florid_Nepal-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,false,true,"Z-Street, Thamel", ,"Kathmandu 44600, ",27.7167975,85.3095476
Hotel Melungtse, 2646,Booking.com,68,4.5,https://www.tripadvisor.com/Hotel_-g293890-d1793045--Hotel_Melungtse-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false, , ,"Kathmandu, ",27.7172453,85.3239605
Hotel Cascade Pvt. Ltd., 3748,Booking.com,36,4,https://www.tripadvisor.com/Hotel_-g293890-d2097839--Hotel_Cascade_Pvt_Ltd-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,Lazimpat, ,"Kathmandu GPO 11450, ",27.7215031,85.3200837
Hotel Excelsior, 2560,Expedia,115,4,https://www.tripadvisor.com/Hotel_-g293890-d338245--Hotel_Excelsior-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,false,true,Narsingh Chowk Marg,Narsingh Camp,"Kathmandu 44600, ",27.7137574,85.3111634
Park Village Hotel & Resort, 4454,Expedia,212,4,https://www.tripadvisor.com/Hotel_-g293890-d597120--Park_Village_Hotel_Resort-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false, ,Budanil-Kantha,"Kathmandu 44600, ",27.7654382,85.3652959
