	Name	Price	Provider	Review	Rating	Link	Wifi	Breakfast	Parking	Restaurant
79	DOM Himalaya Hotel	NPR 3,418	Booking.com	180 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d12071763-Reviews-DOM_Himalaya_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
80	Kathmandu Suite Home	NPR 3,423	Agoda.com	85 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d12872972-Reviews-Kathmandu_Suite_Home-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	true	false	false
81	Traditional Comfort	NPR 8,414	Expedia	162 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d10591832-Reviews-Traditional_Comfort-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	true	false	false
82	Kumari Boutique Hotel	NPR 3,589	Booking.com	106 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d13592608-Reviews-Kumari_Boutique_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
83	Kathmandu City Hotel	NPR 2,231	Expedia	243 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d5894519-Reviews-Kathmandu_City_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	true	false	false
84	Hotel Padma	NPR 4,464	Expedia	20 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d325838-Reviews-Hotel_Padma-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	false	true
85	Maya Boutique Hotel	NPR 1,998	Booking.com	146 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d11500558-Reviews-Maya_Boutique_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	true	false	false
86	Hotel Mulberry	NPR 11,447	Expedia	104 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d12294192-Reviews-Hotel_Mulberry-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
87	Hotel Buddy	NPR 4,152	Booking.com	83 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d12811837-Reviews-Hotel_Buddy-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
88	Taleju Boutique Hotel	NPR 3,937	Agoda.com	154 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d11671092-Reviews-Taleju_Boutique_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
89	Hotel Family Home	NPR 1,032	TripAdvisor	617 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d2078030-Reviews-Hotel_Family_Home-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	false	false
90	Hotel Mustang Holiday Inn		Hotels.com	31 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d1547555-Reviews-Hotel_Mustang_Holiday_Inn-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	false	false	false	true
