	Name	Price	Provider	Review	Rating	Wifi	Breakfast	Parking	Restaurant
139	Festoon Hotel	NPR 1,158	Booking.com	212 reviews	4.5 of 5 bubbles	true	true	false	false
140	Khangsar Guest House	NPR 923	Booking.com	538 reviews	4.5 of 5 bubbles	true	false	false	true
141	Aria Boutique Hotel & Spa	NPR 4,992	Expedia	324 reviews	4.5 of 5 bubbles	true	true	false	false
142	Rokpa Guest House	NPR 4,909	Booking.com	161 reviews	5 of 5 bubbles	true	false	false	true
143	Hotel Yala Peak	NPR 868	Expedia	177 reviews	4.5 of 5 bubbles	true	false	false	true
144	Hotel The Great Wall	NPR 1,353	Expedia	192 reviews	4.5 of 5 bubbles	true	false	false	true
145	Andes House	NPR 1,361	Booking.com	291 reviews	4.5 of 5 bubbles	true	true	false	false
146	The Sparkling Turtle Backpackers Hostel	NPR 1,231	Booking.com	234 reviews	4.5 of 5 bubbles	true	true	false	false
147	Hotel Buddha Land	NPR 1,975	Booking.com	279 reviews	4.5 of 5 bubbles	true	false	false	false
148	Hotel Horizon	NPR 1,286	Booking.com	188 reviews	4.5 of 5 bubbles	true	false	true	false
149	Pilgrims Guest House	NPR 1,663	Booking.com	443 reviews	4.5 of 5 bubbles	true	false	true	false
150	Hotel Family Home	NPR 1,027	Booking.com	617 reviews	4.5 of 5 bubbles	true	false	false	false
151	Crowne Plaza Kathmandu-Soaltee	NPR 17,674	Expedia	1,016 reviews	4 of 5 bubbles	false	false	true	false
152	Swayambhu View Guest House	NPR 1,738	Booking.com	88 reviews	5 of 5 bubbles	true	false	true	false
153	Stupa Guest House and Restaurant	NPR 733	Booking.com	169 reviews	4.5 of 5 bubbles	true	false	false	true
154	Potala Tourist Home	NPR 1,159	Booking.com	128 reviews	4.5 of 5 bubbles	true	false	false	true
155	Traditional Comfort	NPR 10,356	Expedia	162 reviews	5 of 5 bubbles	true	true	false	false
156	Kantipur Temple House	NPR 5,988	Expedia	888 reviews	4.5 of 5 bubbles	true	false	false	true
157	Hotel Friends Home	NPR 2,370	Expedia	1,402 reviews	5 of 5 bubbles	true	true	false	false
158	Hotel Shanker	NPR 5,988	Expedia	1,307 reviews	4 of 5 bubbles	true	false	true	false
159	Shambaling Boutique Hotel	NPR 4,037	Expedia	523 reviews	5 of 5 bubbles	true	false	true	false
160	Dwarika's Hotel	NPR 26,180	Booking.com	1,195 reviews	4.5 of 5 bubbles	false	false	false	true
161	Aria Boutique Hotel & Spa	NPR 4,992	Expedia	324 reviews	4.5 of 5 bubbles	true	true	false	false
162	Hotel Shambala	NPR 8,418	Expedia	494 reviews	4.5 of 5 bubbles	true	false	true	false
163	Hotel Silver Home	NPR 1,055	Expedia	731 reviews	4.5 of 5 bubbles	true	true	false	false
164	Gokarna Forest Resort	NPR 13,126	Expedia	971 reviews	4.5 of 5 bubbles	false	true	true	false
165	Crowne Plaza Kathmandu-Soaltee	NPR 17,674	Expedia	1,016 reviews	4 of 5 bubbles	false	false	true	false
166	Hyatt Regency Kathmandu	NPR 13,638	Hotels.com	1,780 reviews	4.5 of 5 bubbles	false	false	true	false
167	Dream Nepal Hotel and Apartment	NPR 2,633	Expedia	615 reviews	4.5 of 5 bubbles	true	true	false	false
168	OYO 11477 Backyard Hotel	NPR 1,842	Booking.com	638 reviews	4.5 of 5 bubbles	true	true	false	false
169	Thamel Eco Resort	NPR 3,055	Expedia	394 reviews	4 of 5 bubbles	true	true	false	false
170	Gaju Suite Hotel	NPR 3,212	Booking.com	490 reviews	4.5 of 5 bubbles	true	false	true	false
171	Kathmandu Eco Hotel	NPR 2,369	Booking.com	780 reviews	5 of 5 bubbles	true	true	false	false
172	Trekkers' Home	NPR 711	Booking.com	761 reviews	4.5 of 5 bubbles	true	false	false	true
